# device,NVIDIA GB10,cc,12.1,SMs,48,L2_bytes,25165824,cold_mult,4,torch,2.13.0+cu130,backend,native,cuda_graph,True,rounds,3,peak_alloc_GiB,1.475
shape,k,n,m,arm,bits,variant,n_rot,graph_calls,us_median,us_r1,us_r2,us_r3,bytes_per_call,gbs,ratio_vs_bf16_linear,calls_per_step,note
f_b_proj  TP3/rank,128,2816,1,bf16_linear,16,warm,1,559,3.132,3.135,3.132,3.128,726784,232.0,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,1,bf16_linear,16,coldA,140,559,4.635,4.636,4.632,4.635,726784,156.8,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,1,bf16_linear,16,coldB,559,559,4.631,4.645,4.629,4.631,726784,156.9,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,8,bf16_linear,16,warm,1,559,2.208,2.210,2.207,2.208,768000,347.9,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,8,bf16_linear,16,coldA,140,559,4.984,4.982,4.990,4.984,768000,154.1,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,8,bf16_linear,16,coldB,559,559,4.988,4.994,4.983,4.988,768000,154.0,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,64,bf16_linear,16,warm,1,559,4.468,4.469,4.468,4.466,1097728,245.7,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,64,bf16_linear,16,coldA,140,559,5.974,5.967,5.974,5.987,1097728,183.7,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,64,bf16_linear,16,coldB,559,559,5.976,5.973,5.976,5.986,1097728,183.7,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,1,bf16_matmul,16,warm,1,559,2.474,2.474,2.474,2.465,726784,293.8,,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,1,bf16_matmul,16,coldA,140,559,5.366,5.366,5.364,5.370,726784,135.4,,34,"8192->8448 pad, /3 = 22x128"
