arm,op,bytes,us,gbs,rnr_per_op,oob_per_op
base,allreduce,131072,289.4,0.61,0.40,0.01
base,allreduce,262144,160.1,2.96,0.32,0.08
base,allreduce,524288,204.6,3.72,0.30,0.00
base,allreduce,1048576,263.8,5.71,0.28,0.08
base,allreduce,2097152,604.3,5.51,0.96,0.00
base,allreduce,4194304,623.4,9.53,0.24,0.08
base,allreduce,8388608,1532.5,7.33,1.28,0.13
base,allreduce,16777216,2061.6,10.93,0.66,0.27
base,allreduce,33554432,4522.6,10.09,3.48,0.72
base,allreduce,67108864,7491.4,12.08,3.02,1.43
base,alltoall,147456,122.7,1.46,0.06,0.04
base,alltoall,270336,90.1,2.13,0.03,0.01
base,alltoall,540672,184.6,2.52,0.12,0.05
base,alltoall,1056768,132.1,5.61,0.05,0.07
base,alltoall,2113536,1742.3,0.87,2.20,0.09
base,alltoall,4202496,1415.1,1.99,1.58,0.96
base,alltoall,8404992,1987.3,2.83,1.84,0.53
base,alltoall,16785408,1918.8,5.92,1.78,1.13
base,alltoall,33570816,2483.8,9.09,1.23,2.30
base,alltoall,67117056,4461.9,10.05,3.17,0.45
base,sendrecv,131072,104.3,1.44,0.03,0.00
base,sendrecv,262144,95.1,2.92,0.01,0.04
base,sendrecv,524288,180.3,3.06,0.06,0.01
base,sendrecv,1048576,272.7,4.10,0.16,0.00
base,sendrecv,2097152,570.5,3.69,0.00,0.33
base,sendrecv,4194304,764.1,7.08,0.00,0.45
base,sendrecv,8388608,1077.6,8.09,0.72,0.68
base,sendrecv,16777216,1447.7,11.59,0.16,0.00
base,sendrecv,33554432,3113.4,11.07,0.80,0.33
base,sendrecv,67108864,6228.5,11.16,1.10,0.60
base,step90,47185920,10207.5,,,
p2ctl,allreduce,131072,336.2,0.55,0.38,0.05
p2ctl,allreduce,262144,238.4,1.56,0.28,0.00
p2ctl,allreduce,524288,182.9,3.97,0.24,0.00
p2ctl,allreduce,1048576,300.6,4.79,0.22,0.00
p2ctl,allreduce,2097152,537.5,5.71,0.64,0.00
p2ctl,allreduce,4194304,793.9,8.43,0.96,0.16
p2ctl,allreduce,8388608,1278.6,9.18,1.15,0.61
p2ctl,allreduce,16777216,2193.4,10.55,0.95,0.27
p2ctl,allreduce,33554432,5121.7,8.82,5.88,1.15
p2ctl,allreduce,67108864,7234.6,12.38,0.43,0.08
p2ctl,alltoall,147456,165.8,0.67,0.08,0.00
p2ctl,alltoall,270336,140.2,1.62,0.04,0.01
p2ctl,alltoall,540672,210.4,2.26,0.15,0.05
p2ctl,alltoall,1056768,149.9,4.72,0.08,0.02
p2ctl,alltoall,2113536,1464.8,1.17,1.07,0.66
p2ctl,alltoall,4202496,1188.7,2.37,0.87,1.23
p2ctl,alltoall,8404992,1608.6,3.52,1.39,0.49
p2ctl,alltoall,16785408,2192.8,5.14,2.37,0.91
p2ctl,alltoall,33570816,3338.1,6.71,3.88,1.02
p2ctl,alltoall,67117056,4939.0,9.12,4.90,0.57
p2ctl,sendrecv,131072,82.3,2.08,0.01,0.01
p2ctl,sendrecv,262144,154.3,1.77,0.07,0.01
p2ctl,sendrecv,524288,197.6,2.69,0.07,0.01
p2ctl,sendrecv,1048576,218.0,4.88,0.11,0.00
p2ctl,sendrecv,2097152,682.9,3.50,0.84,0.00
p2ctl,sendrecv,4194304,1289.2,3.29,1.32,0.00
p2ctl,sendrecv,8388608,1148.6,7.42,0.76,0.00
p2ctl,sendrecv,16777216,1650.1,10.20,0.52,0.00
p2ctl,sendrecv,33554432,3465.6,9.89,1.40,0.10
p2ctl,sendrecv,67108864,6044.4,11.10,0.80,0.05
p2ctl,step90,47185920,10046.0,,,
link1rnr1,allreduce,131072,185.0,1.16,0.76,2.09
link1rnr1,allreduce,262144,120.8,3.38,0.67,1.40
link1rnr1,allreduce,524288,162.3,4.87,0.79,1.30
link1rnr1,allreduce,1048576,314.8,5.31,1.22,1.15
link1rnr1,allreduce,2097152,445.5,6.64,1.65,4.22
link1rnr1,allreduce,4194304,643.2,9.46,1.83,5.65
link1rnr1,allreduce,8388608,1079.9,10.72,3.28,5.57
link1rnr1,allreduce,16777216,1921.3,11.79,3.59,5.83
link1rnr1,allreduce,33554432,4025.2,11.41,9.32,17.75
link1rnr1,allreduce,67108864,7425.1,12.20,8.28,4.75
link1rnr1,alltoall,147456,117.8,1.04,0.43,0.12
link1rnr1,alltoall,270336,98.9,2.46,0.16,0.23
link1rnr1,alltoall,540672,157.0,2.62,0.81,0.02
link1rnr1,alltoall,1056768,188.2,3.90,0.82,0.46
