size_bytes,rep,time_us,algbw,busbw,config
8,1,77.856,0.0001,0.0001,nochannels_default
16,1,72.166,0.0002,0.0003,nochannels_default
32,1,70.777,0.0005,0.0006,nochannels_default
64,1,80.038,0.0008,0.0011,nochannels_default
128,1,77.317,0.0017,0.0022,nochannels_default
256,1,89.441,0.0029,0.0038,nochannels_default
512,1,80.074,0.0064,0.0085,nochannels_default
1024,1,73.565,0.0139,0.0186,nochannels_default
2048,1,97.217,0.0211,0.0281,nochannels_default
4096,1,71.317,0.0574,0.0766,nochannels_default
8192,1,73.827,0.1110,0.1479,nochannels_default
16384,1,70.753,0.2316,0.3088,nochannels_default
32768,1,76.336,0.4293,0.5723,nochannels_default
65536,1,80.024,0.8190,1.0919,nochannels_default
131072,1,200.735,0.6530,0.8706,nochannels_default
262144,1,424.932,0.6169,0.8225,nochannels_default
524288,1,1129.607,0.4641,0.6188,nochannels_default
1048576,1,1388.016,0.7554,1.0073,nochannels_default
2097152,1,1413.784,1.4834,1.9778,nochannels_default
4194304,1,3553.864,1.1802,1.5736,nochannels_default
8388608,1,3390.886,2.4739,3.2985,nochannels_default
16777216,1,3046.165,5.5077,7.3435,nochannels_default
33554432,1,2041.405,16.4369,21.9159,nochannels_default
67108864,1,3945.276,17.0099,22.6799,nochannels_default
8,1,81.439,0.0001,0.0001,production
16,1,81.242,0.0002,0.0003,production
32,1,85.059,0.0004,0.0005,production
64,1,77.839,0.0008,0.0011,production
128,1,75.107,0.0017,0.0023,production
256,1,79.357,0.0032,0.0043,production
512,1,76.202,0.0067,0.0090,production
1024,1,78.380,0.0131,0.0174,production
2048,1,77.036,0.0266,0.0354,production
4096,1,70.261,0.0583,0.0777,production
8192,1,72.391,0.1132,0.1509,production
16384,1,75.779,0.2162,0.2883,production
32768,1,79.776,0.4108,0.5477,production
65536,1,100.352,0.6531,0.8707,production
131072,1,159.854,0.8199,1.0933,production
262144,1,92.080,2.8469,3.7959,production
524288,1,141.400,3.7078,4.9438,production
1048576,1,276.323,3.7947,5.0597,production
2097152,1,498.934,4.2033,5.6043,production
4194304,1,306.110,13.7019,18.2693,production
8388608,1,539.544,15.5476,20.7301,production
16777216,1,1103.983,15.1970,20.2626,production
33554432,1,1995.373,16.8161,22.4215,production
67108864,1,3932.708,17.0643,22.7524,production
8,2,80.376,0.0001,0.0001,production
16,2,74.145,0.0002,0.0003,production
32,2,81.184,0.0004,0.0005,production
64,2,79.922,0.0008,0.0011,production
128,2,70.596,0.0018,0.0024,production
256,2,94.603,0.0027,0.0036,production
512,2,80.470,0.0064,0.0085,production
1024,2,82.596,0.0124,0.0165,production
2048,2,77.032,0.0266,0.0354,production
4096,2,73.868,0.0555,0.0739,production
8192,2,101.187,0.0810,0.1079,production
16384,2,80.867,0.2026,0.2701,production
32768,2,78.990,0.4148,0.5531,production
65536,2,86.396,0.7586,1.0114,production
131072,2,173.266,0.7565,1.0086,production
262144,2,93.153,2.8141,3.7522,production
524288,2,143.268,3.6595,4.8793,production
1048576,2,275.121,3.8113,5.0818,production
2097152,2,458.881,4.5701,6.0935,production
4194304,2,305.511,13.7288,18.3051,production
8388608,2,533.441,15.7255,20.9673,production
16777216,2,1096.790,15.2966,20.3955,production
33554432,2,1955.092,17.1626,22.8834,production
67108864,2,3967.716,16.9137,22.5516,production
8,3,77.562,0.0001,0.0001,production
16,3,75.690,0.0002,0.0003,production
32,3,74.817,0.0004,0.0006,production
64,3,73.146,0.0009,0.0012,production
128,3,72.957,0.0018,0.0023,production
256,3,74.319,0.0034,0.0046,production
512,3,76.168,0.0067,0.0090,production
1024,3,79.002,0.0130,0.0173,production
2048,3,73.764,0.0278,0.0370,production
4096,3,72.317,0.0566,0.0755,production
8192,3,74.683,0.1097,0.1463,production
16384,3,76.155,0.2151,0.2869,production
32768,3,107.899,0.3037,0.4049,production
65536,3,74.796,0.8762,1.1683,production
131072,3,172.478,0.7599,1.0132,production
262144,3,91.856,2.8539,3.8051,production
524288,3,130.687,4.0118,5.3491,production
1048576,3,261.514,4.0096,5.3462,production
2097152,3,483.851,4.3343,5.7791,production
4194304,3,297.206,14.1124,18.8166,production
8388608,3,539.706,15.5429,20.7239,production
16777216,3,1080.639,15.5253,20.7004,production
33554432,3,2053.385,16.3410,21.7880,production
67108864,3,3954.980,16.9682,22.6243,production
8,1,78.461,0.0001,0.0001,proto_LL
16,1,79.202,0.0002,0.0003,proto_LL
32,1,79.375,0.0004,0.0005,proto_LL
64,1,76.473,0.0008,0.0011,proto_LL
128,1,72.004,0.0018,0.0024,proto_LL
256,1,77.358,0.0033,0.0044,proto_LL
512,1,75.481,0.0068,0.0090,proto_LL
1024,1,76.138,0.0134,0.0179,proto_LL
2048,1,75.404,0.0272,0.0362,proto_LL
4096,1,73.574,0.0557,0.0742,proto_LL
8192,1,72.768,0.1126,0.1501,proto_LL
16384,1,75.577,0.2168,0.2890,proto_LL
32768,1,80.449,0.4073,0.5431,proto_LL
65536,1,78.492,0.8349,1.1133,proto_LL
131072,1,209.080,0.6269,0.8359,proto_LL
262144,1,211.785,1.2378,1.6504,proto_LL
524288,1,209.436,2.5033,3.3378,proto_LL
1048576,1,330.118,3.1764,4.2352,proto_LL
8,1,76.477,0.0001,0.0001,proto_Simple
16,1,74.291,0.0002,0.0003,proto_Simple
32,1,79.801,0.0004,0.0005,proto_Simple
64,1,74.916,0.0009,0.0011,proto_Simple
128,1,75.576,0.0017,0.0023,proto_Simple
256,1,72.714,0.0035,0.0047,proto_Simple
512,1,98.351,0.0052,0.0069,proto_Simple
1024,1,75.211,0.0136,0.0182,proto_Simple
2048,1,76.857,0.0266,0.0355,proto_Simple
4096,1,110.882,0.0369,0.0493,proto_Simple
8192,1,69.405,0.1180,0.1574,proto_Simple
16384,1,72.675,0.2254,0.3006,proto_Simple
32768,1,75.824,0.4322,0.5762,proto_Simple
65536,1,96.159,0.6815,0.9087,proto_Simple
131072,1,621.294,0.2110,0.2813,proto_Simple
262144,1,618.847,0.4236,0.5648,proto_Simple
524288,1,683.160,0.7674,1.0233,proto_Simple
1048576,1,629.773,1.6650,2.2200,proto_Simple
