arm,conc,rounds,agg_tok_s,agg_min,agg_max,per_stream_tok_s,ttft_med_s,ttft_max_s,tpot_ms,accept_rate_pct,accept_len,kv_pool_tokens
"bc0e0f6+0003, MNBT 4096",1,3,51.1,51.0,51.2,61.3,0.683,1.189,16.32,64.3,5.5,1627170
"bc0e0f6+0003, MNBT 4096",2,3,74.9,71.9,76.8,45.2,0.856,1.761,22.14,63.7,5.46,1627170
"bc0e0f6+0003, MNBT 4096",4,3,104.8,102.9,111.5,34.4,1.119,3.053,29.08,62.0,5.34,1627170
"bc0e0f6+0003, MNBT 4096",6,3,125.4,122.9,130.3,27.2,1.401,3.688,36.73,60.1,5.2,1627170
"bc0e0f6+0003, MNBT 4096",8,3,150.9,148.6,153.4,23.9,1.555,4.969,41.9,60.9,5.26,1627170
"61a17bc, input fusion off",1,3,51.2,50.3,51.5,61.5,0.68,1.26,16.26,63.5,5.45,1677221
"61a17bc, input fusion off",2,3,75.7,74.4,76.6,46.1,0.866,1.749,21.71,63.4,5.44,1677221
"61a17bc, input fusion off",4,3,105.6,104.3,107.9,34.5,1.182,3.004,29.02,62.7,5.39,1677221
"61a17bc, input fusion off",6,3,129.4,126.3,130.5,26.9,1.36,3.825,37.19,60.6,5.24,1677221
"61a17bc, input fusion off",8,3,152.8,151.6,154.2,24.1,1.606,4.57,41.51,61.8,5.33,1677221
"61a17bc, input fusion auto",1,3,51.7,51.4,52.1,61.7,0.666,1.234,16.21,63.2,5.43,1685393
"61a17bc, input fusion auto",2,3,78.1,76.3,78.7,46.9,0.854,1.871,21.32,64.1,5.48,1685393
"61a17bc, input fusion auto",4,3,108.0,106.8,108.0,34.1,1.165,3.174,29.35,63.2,5.43,1685393
"61a17bc, input fusion auto",6,3,130.6,129.0,132.5,27.9,1.351,3.514,35.78,61.1,5.28,1685393
"61a17bc, input fusion auto",8,3,155.0,151.6,155.3,24.8,1.572,4.893,40.28,61.4,5.3,1685393
"f4987cf, MNBT 2048",1,3,51.9,51.1,52.3,61.9,0.662,1.153,16.17,63.8,5.46,2428769
"f4987cf, MNBT 2048",2,3,76.2,76.1,77.2,46.0,0.854,1.558,21.73,64.3,5.5,2428769
"f4987cf, MNBT 2048",4,3,107.0,105.0,107.2,32.7,1.192,3.124,30.58,61.6,5.31,2428769
"f4987cf, MNBT 2048",6,3,131.1,129.1,134.3,27.3,1.314,3.732,36.64,61.3,5.29,2428769
"f4987cf, MNBT 2048",8,3,153.8,153.4,154.4,24.1,1.459,4.803,41.49,61.4,5.3,2428769
f4987cf + draft page 256,1,3,52.8,52.3,53.5,61.1,0.469,0.967,16.38,61.2,5.28,4413223
f4987cf + draft page 256,2,3,81.0,77.2,81.0,47.6,0.692,1.406,21.02,64.2,5.5,4413223
f4987cf + draft page 256,4,3,117.1,113.3,120.2,35.6,0.937,2.546,28.06,63.5,5.45,4413223
f4987cf + draft page 256,6,3,135.6,134.1,141.8,28.0,1.022,3.134,35.69,60.5,5.24,4413223
f4987cf + draft page 256,8,3,162.8,162.0,164.7,25.5,1.136,4.345,39.19,61.6,5.31,4413223
draft page 256 @ 0.85,1,3,53.8,53.8,54.0,61.3,0.468,1.036,16.31,63.1,5.41,5256198
draft page 256 @ 0.85,2,3,79.5,79.0,81.2,47.1,0.644,1.393,21.21,63.4,5.44,5256198
draft page 256 @ 0.85,4,3,112.7,111.4,114.3,36.4,0.928,2.722,27.49,62.4,5.37,5256198
draft page 256 @ 0.85,6,3,135.0,134.6,139.1,28.1,0.917,3.557,35.55,60.9,5.27,5256198
draft page 256 @ 0.85,8,3,161.8,161.4,163.7,25.0,1.151,4.585,40.0,61.2,5.29,5256198
fast boot S1+S2+S3,1,3,53.8,52.8,54.5,60.8,0.465,1.031,16.45,63.4,5.44,4231404
fast boot S1+S2+S3,2,3,80.4,78.5,80.4,47.7,0.706,1.513,20.95,62.6,5.38,4231404
fast boot S1+S2+S3,4,3,112.9,109.7,114.7,35.3,0.849,2.872,28.35,62.0,5.34,4231404
fast boot S1+S2+S3,6,3,136.5,136.2,136.6,27.9,0.905,3.824,35.83,61.0,5.27,4231404
fast boot S1+S2+S3,8,3,164.0,160.8,166.1,25.5,1.149,3.977,39.15,62.1,5.34,4231404
